store_id,model_id,eol_status,current_stock,forecast_units,excess_units,price,excess_inventory_value,transfer_destination,transfer_demand_gap,hold_cost,transfer_cost,markdown_rate,markdown_loss,markdown_recovery,recommended_action,recommended_cost,reason
BLR04,MOD035,post_successor,8.0,2.0027657608695653,5.997234239130435,29000.0,173919.79293478263,DAV02,0.4237722321428572,6956.791717391306,3298.4788315217393,0.3,52175.93788043479,121743.85505434783,TRANSFER,3298.4788315217393,"TRANSFER 6 units to DAV02: destination has 0.4 units of demand gap; transfer cost is ₹3,298, below the estimated markdown loss of ₹52,176."
BLR08,MOD040,post_successor,7.0,1.366241517857143,5.6337584821428575,35000.0,197181.546875,TUM01,0.5706589285714286,7887.261875,3098.5671651785715,0.3,59154.464062499996,138027.0828125,TRANSFER,3098.5671651785715,"TRANSFER 6 units to TUM01: destination has 0.6 units of demand gap; transfer cost is ₹3,099, below the estimated markdown loss of ₹59,154."
BLR03,MOD046,post_successor,7.0,1.6209964285714287,5.379003571428571,50000.0,268950.1785714286,MYS01,0.5664865178571428,10758.007142857143,2958.451964285714,0.3,80685.05357142857,188265.125,TRANSFER,2958.451964285714,"TRANSFER 5 units to MYS01: destination has 0.6 units of demand gap; transfer cost is ₹2,958, below the estimated markdown loss of ₹80,685."
CHI01,MOD004,post_successor,12.0,3.1008301435406693,8.89916985645933,8000.0,71193.35885167464,BLR02,0.46045366883116867,2847.734354066986,4894.543421052632,0.3,21358.00765550239,49835.35119617225,HOLD,2847.734354066986,"HOLD 9 units: estimated carrying/opportunity cost is ₹2,848, lower than available liquidation alternatives."
HUB02,MOD023,post_successor,6.0,1.096025892857143,4.903974107142857,13500.0,66203.65044642857,BEL01,0.37616666666666665,2648.146017857143,2697.1857589285714,0.3,19861.09513392857,46342.5553125,HOLD,2648.146017857143,"HOLD 5 units: estimated carrying/opportunity cost is ₹2,648, lower than available liquidation alternatives."
BLR01,MOD035,post_successor,6.0,1.2675583333333331,4.732441666666666,29000.0,137240.80833333332,DAV02,0.4237722321428572,5489.632333333333,2602.8429166666665,0.3,41172.24249999999,96068.56583333333,TRANSFER,2602.8429166666665,"TRANSFER 5 units to DAV02: destination has 0.4 units of demand gap; transfer cost is ₹2,603, below the estimated markdown loss of ₹41,172."
HUB02,MOD004,post_successor,10.0,3.576268636363636,6.423731363636364,8000.0,51389.85090909091,BLR02,0.46045366883116867,2055.5940363636364,3533.05225,0.3,15416.955272727271,35972.89563636364,HOLD,2055.5940363636364,"HOLD 6 units: estimated carrying/opportunity cost is ₹2,056, lower than available liquidation alternatives."
TUM01,MOD032,post_successor,5.0,1.4423392857142858,3.5576607142857144,27000.0,96056.83928571429,KAL01,0.5660504464285714,3842.273571428572,1956.713392857143,0.3,28817.051785714288,67239.7875,TRANSFER,1956.713392857143,"TRANSFER 4 units to KAL01: destination has 0.6 units of demand gap; transfer cost is ₹1,957, below the estimated markdown loss of ₹28,817."
TUM01,MOD016,post_successor,5.0,1.5059825892857144,3.4940174107142856,14000.0,48916.24375,BLR07,0.8825798214285716,1956.64975,1921.7095758928572,0.3,14674.873125,34241.370625,TRANSFER,1921.7095758928572,"TRANSFER 3 units to BLR07: destination has 0.9 units of demand gap; transfer cost is ₹1,922, below the estimated markdown loss of ₹14,675."
BLR04,MOD038,post_successor,4.0,0.7394879464285714,3.2605120535714285,33500.0,109227.15379464286,HOS01,0.925769732142857,4369.086151785715,1793.2816294642857,0.3,32768.146138392854,76459.00765625,TRANSFER,1793.2816294642857,"TRANSFER 3 units to HOS01: destination has 0.9 units of demand gap; transfer cost is ₹1,793, below the estimated markdown loss of ₹32,768."
